MONETARY	O
NEWS	O
,	O
FOREIGN	O
EXCHANGE	O
,	O
TRADE	O
(	O
MON	O
)	O
STOCK	O
INDEXES	O
(	O
NDX	O
)	O
STOCK	O
MARKET	O
,	O
OFFERINGS	O
(	O
STK	O
)	O
FINANCIAL	O
,	O
ACCOUNTING	O
,	O
LEASING	O
(	O
FIN	O
)	O
BOND	O
MARKET	O
NEWS	O
(	O
BON	O
)	O
FOREIGN-EXCHANGE	O
MARKETS	O
(	O
FRX	O
)	O
TREASURY	O
DEPARTMENT	O
(	O
TRE	O
)	O
Some	O
lousy	O
earnings	O
reports	O
whacked	EVENT
the	O
stock	O
market	O
,	O
but	O
bond	O
prices	O
fell	EVENT
only	O
slightly	O
and	O
the	O
dollar	O
rose	EVENT
a	O
little	O
against	O
most	O
major	O
currencies	O
.	O

The	O
Dow	O
Jones	O
Industrial	O
Average	O
tumbled	EVENT
39.55	O
points	O
,	O
to	O
2613.73	EVENT
,	O
in	O
active	O
trading	O
.	O

Long-term	O
Treasury	O
bonds	O
ended	EVENT
slightly	O
higher	O
.	O

The	O
dollar	O
rose	EVENT
modestly	O
against	O
the	O
mark	O
and	O
the	O
yen	O
,	O
but	O
soared	EVENT
against	O
the	O
pound	O
following	O
the	O
resignation	EVENT
of	O
Britain	O
's	O
chancellor	O
of	O
the	O
Exchequer	O
,	O
Nigel	O
Lawson	O
.	O

Analysts	O
have	O
complained	EVENT
that	O
third-quarter	O
corporate	O
earnings	O
have	O
n't	O
been	O
very	O
good	O
,	O
but	O
the	O
effect	O
hit	EVENT
home	O
particularly	O
hard	O
yesterday	O
.	O

Compaq	O
Computer	O
nose-dived	EVENT
$	O
8.625	O
a	O
share	O
,	O
to	O
$	O
100	O
,	O
and	O
pulled	EVENT
other	O
technology	O
issues	O
lower	O
after	O
reporting	EVENT
lower-than-expected	O
earnings	EVENT
after	O
the	O
stock	O
market	O
closed	EVENT
Wednesday	O
.	O

Later	O
yesterday	O
the	O
nation	O
's	O
major	O
auto	O
makers	O
added	EVENT
to	O
the	O
gloom	O
when	O
they	O
each	O
reported	EVENT
their	O
core	O
auto	O
operations	O
were	O
net	O
losers	EVENT
in	O
the	O
third	O
quarter	O
.	O

The	O
less-than-robust	O
third-quarter	O
results	EVENT
came	O
amid	O
renewed	O
concern	EVENT
about	O
the	O
volatility	EVENT
of	O
stock	O
prices	O
and	O
the	O
role	EVENT
of	O
computer-aided	O
program	O
trading	O
.	O

Taken	O
together	O
,	O
the	O
worries	EVENT
prompted	EVENT
a	O
broad	O
sell-off	EVENT
of	O
stocks	O
.	O

The	O
number	O
of	O
stocks	O
on	O
the	O
New	O
York	O
Stock	O
Exchange	O
that	O
fell	EVENT
in	O
price	O
yesterday	O
exceeded	O
1,000	O
,	O
a	O
key	O
measure	O
of	O
underlying	O
sentiment	O
among	O
technical	O
analysts	O
.	O

Although	O
the	O
government	O
said	EVENT
the	O
economy	O
grew	EVENT
an	O
estimated	O
2.5	O
%	O
in	O
the	O
third	O
quarter	O
,	O
in	O
line	O
with	O
expectations	EVENT
,	O
analysts	O
are	O
increasingly	O
predicting	EVENT
much	O
more	O
sluggish	O
growth	EVENT
--	O
and	O
therefore	O
more	O
corporate	O
earnings	O
disappointments	EVENT
--	O
for	O
the	O
fourth	O
quarter	O
.	O

``	O
There	O
are	O
a	O
lot	O
more	O
downward	O
revisions	EVENT
of	O
earnings	O
forecasts	EVENT
than	O
upward	O
revisions	EVENT
,	O
''	O
said	EVENT
Abby	O
Joseph	O
Cohen	O
,	O
a	O
market	O
strategist	O
at	O
Drexel	O
Burnham	O
