'	O
Israeli	O
Prime	O
Minister	O
Benjamin	O
Netanyahu	O
says	EVENT
considerable	O
gaps	EVENT
remain	EVENT
between	O
Israeli	O
and	O
Palestinian	O
positions	O
before	O
next	O
week	O
's	O
talks	EVENT
in	O
London	O
.	O

He	O
and	O
Palestinian	O
leader	O
Yasser	O
Arafat	O
meet	EVENT
separately	O
Monday	O
with	O
US	O
Secretary	O
of	O
State	O
Madeleine	O
Albright	O
.	O

At	O
a	O
news	O
conference	EVENT
with	O
US	O
Vice	O
President	O
Al	O
Gore	O
in	O
Jerusalem	O
,	O
Mr.	O
Netanyahu	O
suggested	EVENT
Israel	O
might	O
be	O
willing	EVENT
to	O
move	EVENT
a	O
little	O
on	O
issues	O
holding	EVENT
up	O
peace	EVENT
,	O
but	O
he	O
said	EVENT
he	O
expects	EVENT
an	O
equal	O
effort	EVENT
from	O
the	O
Palestinians	O
.	O

If	O
Israel	O
is	O
asked	EVENT
to	O
uh	O
stretch	EVENT
itself	O
on	O
matters	O
that	O
are	O
vital	O
to	O
its	O
security	O
concerns	O
,	O
then	O
we	O
must	O
see	EVENT
an	O
equal	O
effort	O
on	O
the	O
other	O
side	O
.	O

Mr.	O
Gore	O
called	EVENT
on	O
Israel	O
to	O
continue	EVENT
taking	EVENT
risks	EVENT
for	O
peace	O
.	O
'	O
