'	O
06338157	O
Photo	O
;	O
PHOTO	O
:	O
Sununu	O
;	O
(	O
Photo	O
ran	O
in	O
PM	O
editions	O
only	O
)	O
US	O
;	O
GOVERNMENT	O
;	O
OFFICIAL	O
;	O
RESIGN	O
;	O
CONTROVERSY	O
One	O
of	O
President	O
Bush	O
's	O
sons	O
has	O
informed	EVENT
White	O
House	O
Chief	O
of	O
Staff	O
John	O
Sununu	O
that	O
he	O
has	O
lost	EVENT
much	O
of	O
his	O
support	O
among	O
Republicans	O
,	O
prompting	EVENT
an	O
intense	O
effort	O
by	O
Sununu	O
to	O
hold	EVENT
on	O
to	O
his	O
job	O
by	O
demonstrating	EVENT
his	O
GOP	O
backing	O
,	O
White	O
House	O
and	O
Republican	O
sources	O
said	EVENT
Monday	O
.	O

;	O
Sununu	O
was	O
told	EVENT
Wednesday	O
by	O
Bush	O
's	O
son	O
,	O
George	O
,	O
that	O
he	O
had	O
alienated	EVENT
members	O
of	O
the	O
Cabinet	O
,	O
the	O
White	O
House	O
staff	O
and	O
the	O
Republican	O
political	O
community	O
,	O
creating	EVENT
a	O
situation	O
that	O
puts	O
his	O
effectiveness	O
in	O
significant	O
doubt	O
,	O
the	O
sources	O
said	EVENT
.	O

Front	O
SUNUNU	O
BATTLES	O
TO	O
KEEP	O
HIS	O
JOB	O
The	O
message	EVENT
to	O
the	O
chief	O
of	O
staff	O
was	O
meant	EVENT
to	O
be	O
taken	EVENT
as	O
a	O
suggestion	EVENT
that	O
Sununu	O
offer	EVENT
to	O
resign	EVENT
,	O
one	O
highly	O
placed	O
source	O
said	EVENT
.	O

Instead	O
,	O
Sununu	O
sought	EVENT
to	O
prove	EVENT
to	O
the	O
president	O
that	O
his	O
supporters	O
outnumber	EVENT
his	O
critics	O
and	O
that	O
he	O
should	O
remain	EVENT
in	O
his	O
post	O
.	O

;	O
One	O
senior	O
official	O
Monday	O
described	EVENT
the	O
White	O
House	O
as	O
``	O
a	O
collection	O
of	O
small	O
groups	O
of	O
aides	O
holding	EVENT
their	O
breaths	O
,	O
''	O
waiting	EVENT
to	O
see	EVENT
whether	O
Sununu	O
survives	EVENT
.	O

One	O
GOP	O
source	O
,	O
reporting	EVENT
on	O
a	O
call	EVENT
from	O
the	O
chief	O
of	O
staff	O
to	O
a	O
Republican	O
leader	O
,	O
said	EVENT
Sununu	O
lamented	EVENT
that	O
``	O
the	O
noose	O
is	O
tightening	EVENT
around	O
my	O
neck	O
,	O
and	O
I	O
need	EVENT
your	O
help	EVENT
.	O

``	O
;	O
Another	O
highly	O
placed	O
source	O
said	EVENT
the	O
president	O
's	O
son	O
met	EVENT
with	O
Sununu	O
last	O
week	O
after	O
holding	EVENT
a	O
series	O
of	O
conversations	EVENT
about	O
the	O
structure	O
of	O
the	O
White	O
House	O
staff	O
and	O
of	O
the	O
campaign	O
with	O
other	O
Bush	O
loyalists	O
and	O
GOP	O
activists	O
.	O

The	O
source	O
said	EVENT
the	O
younger	O
Bush	O
``	O
sketched	EVENT
out	O
for	O
Sununu	O
''	O
problems	O
the	O
president	O
is	O
encountering	EVENT
because	O
of	O
the	O
chief	O
of	O
staff	O
's	O
tenure	O
.	O

;	O
``	O
He	O
was	O
told	EVENT
.	O

.	O

.	O

the	O
handwriting	O
was	O
on	EVENT
the	O
wall	O
,	O
''	O
the	O
source	O
said	EVENT
Monday	O
.	O

;	O
That	O
,	O
the	O
source	O
said	EVENT
,	O
was	O
when	O
Sununu	O
started	EVENT
calling	EVENT
congressional	O
Republicans	O
and	O
asking	EVENT
them	O
to	O
tell	EVENT
Bush	O
that	O
the	O
conservative	O
wing	O
of	O
the	O
party	O
,	O
in	O
particular	O
,	O
would	O
object	EVENT
if	O
he	O
were	O
fired	EVENT
.	O

;	O
Officials	O
said	EVENT
the	O
president	O
himself	O
met	EVENT
with	O
Sununu	O
Sunday	O
.	O

A	O
source	O
said	EVENT
the	O
outcome	EVENT
of	O
that	O
session	EVENT
was	O
unclear	O
.	O

ANN	O
DEVROY	O
,	O
Washington	O
Post	O
USA	O
Washington	O
Morning	O
Final	O
SJ	O
San	O
Jose	O
Mercury	O
News	O
911203	O
Tuesday	O
December	O
4A	O
1991	O
WEST	O
PHOTO	O
CA	O
326	O
Tuesday	O
,	O
December	O
3	O
,	O
1991	O
00338157	O
,	O
SJ1	O
Copyright	O
1991	O
,	O
San	O
Jose	O
Mercury	O
News	O
1	O
ENG	O
'	O
